amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	number-of-items	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	customized-url	customized-page	signature-confirmation-recommended 
113-7761267-6153026	113-7761267-6153026	2023-01-16T03:24:47+00:00	2023-01-17T19:10:00+00:00	Shipped	Amazon	Amazon.com			Standard	Selamlique's authentic Chocolate Flavoured Turkish coffee 125gr.(4.40oz)	RJ-I660-6DZN	B00N3DFU1K		Shipped	1	USD	12.99								OCEANSIDE	CA	92056-3742	US		false					false
113-9740268-6005823	113-9740268-6005823	2023-01-16T02:26:42+00:00	2023-01-21T19:03:52+00:00	Shipped	Amazon	Amazon.com			Standard	SELAMLIQUE TURKISH COFFEE ISTANBUL Orange Flavored Turkish coffee 125gr. (4.40oz) ultra fine powder coffee (Orange)	7D-FXNN-YDWC	B0968L9H3L		Shipped	1	USD	12.99								Belmont	CA	94002	US		false					false
114-0092060-8920213	114-0092060-8920213	2023-01-15T15:17:41+00:00	2023-01-17T21:36:22+00:00	Shipped	Amazon	Amazon.com			Standard	Selamlique's authentic Traditional Turkish coffee 125gr. (4.40oz)	V7-CFP1-A8TE	B00ARY2LTC		Shipped	1	USD	11.99								HOLLYWOOD	FL	33019-2136	US		false					false
114-5250151-5270628	114-5250151-5270628	2023-01-15T02:55:59+00:00	2023-01-19T03:59:09+00:00	Shipped	Amazon	Amazon.com			Standard	Selamlique's Authentic Decaf Flavoured Turkish Coffee 125gr.(4.40oz)	4W-UD4R-4T8Y	B013W9Q2E8		Shipped	1	USD	12.99		5.99					5.99	SAN ANTONIO	TX	78253-6455	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false					false
113-0573822-8229060	113-0573822-8229060	2023-01-14T20:04:05+00:00	2023-01-15T08:30:55+00:00	Shipped	Amazon	Amazon.com			Standard	Selamlique's Authentic Decaf Flavoured Turkish Coffee 125gr.(4.40oz)	4W-UD4R-4T8Y	B013W9Q2E8		Shipped	1	USD	12.99								WHITMAN	MA	02382	US		false					false
114-1964180-0126628	114-1964180-0126628	2023-01-14T09:45:25+00:00	2023-01-16T17:20:54+00:00	Shipped	Amazon	Amazon.com			Standard	Selamlique's authentic Cinnamon Flavoured Turkish coffee 125gr.(4.40oz)	D2-PL1E-1HBK	B00N3DG0LY		Shipped	1	USD	12.99		5.99						SANTA MONICA	CA	90406-7800	US		false					false
114-1198805-2805064	114-1198805-2805064	2023-01-14T09:39:15+00:00	2023-01-14T09:44:01+00:00	Cancelled	Amazon	Amazon.com			Standard	Selamlique's authentic Traditional Turkish coffee 125gr. (4.40oz)	V7-CFP1-A8TE	B00ARY2LTC		Cancelled	0										SANTA MONICA	CA	90406-7800	US		false					false
112-5673121-4132240	112-5673121-4132240	2023-01-14T02:09:28+00:00	2023-01-14T03:31:08+00:00	Cancelled	Amazon	Amazon.com			Standard	Selamlique's authentic Traditional Turkish coffee 125gr. (4.40oz)	V7-CFP1-A8TE	B00ARY2LTC		Cancelled	0										Baton Rouge	LA	70810	US		false					false
111-0866820-8505052	111-0866820-8505052	2023-01-13T20:59:16+00:00	2023-01-17T23:22:18+00:00	Shipped	Amazon	Amazon.com			Standard	Selamlique's Authentic Decaf Flavoured Turkish Coffee 125gr.(4.40oz)	4W-UD4R-4T8Y	B013W9Q2E8		Shipped	1	USD	12.99		5.99					5.99	Colorado Springs	CO	80908	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false					false
111-1232266-1410632	111-1232266-1410632	2023-01-13T20:58:59+00:00	2023-01-14T09:25:48+00:00	Shipped	Amazon	Amazon.com			Standard	Selamlique's authentic Traditional Turkish coffee 125gr. (4.40oz)	V7-CFP1-A8TE	B00ARY2LTC		Shipped	1	USD	11.99		5.99						FARMINGVILLE	NY	11738-1104	US		false					false
